Trial,Distance_KM,Dijkstra_Visited,AStar_Visited,Efficiency_Gain_Percent,Time_AStar_MS
396,17.1946,187232,28022,85.0335,31.8929
397,37.4038,275543,36966,86.5843,40.0511
398,3.92788,3469,465,86.5956,0.4818
399,10.9262,66716,14971,77.5601,14.6224
400,21.6531,216801,49333,77.245,112.343
401,16.6585,49374,3676,92.5548,7.8092
402,26.9931,173891,34305,80.2721,61.565
403,45.1578,238659,79484,66.6956,97.5691
404,27.6934,235466,75321,68.0119,90.9628
405,12.3089,128014,21944,82.8581,37.5356
406,15.0923,97507,27765,71.5251,31.1773
407,17.2099,187831,35398,81.1543,88.6463
408,57.6058,313888,105083,66.5221,146.354
409,7.12639,44763,10678,76.1455,10.204
410,34.5186,119400,23458,80.3534,27.346
411,42.5106,289676,48285,83.3314,54.5879
412,37.1011,219569,25075,88.5799,37.0565
413,31.4155,235953,70064,70.306,141.37
414,29.9461,247378,99668,59.7102,120.16
415,25.8608,223686,83561,62.6436,100.504
416,8.30821,77270,6271,91.8843,6.0781
417,8.1656,67476,7381,89.0613,6.8245
418,23.6412,152445,48766,68.0108,95.1988
419,18.964,144132,21970,84.757,49.884
420,18.6543,185074,47129,74.5351,55.2773
421,36.8814,211730,72009,65.9902,91.3146
422,26.561,197794,9473,95.2107,10.7947
423,41.222,184643,44811,75.731,50.3918
424,21.4803,23304,2341,89.9545,2.7904
425,18.3716,13685,2788,79.6273,2.4455
426,6.72033,49553,4934,90.043,5.2401
427,47.6775,299712,102946,65.6517,202.467
428,32.082,259814,84107,67.628,101.423
429,16.6091,27025,5731,78.7937,5.1686
430,23.9976,167064,7106,95.7465,6.1641
431,52.1079,241077,98899,58.9762,116.304
432,19.0832,133224,4819,96.3828,8.1882
433,11.3436,27243,3807,86.0258,4.2563
434,63.1191,270914,66661,75.394,157.118
435,10.8654,57280,14506,74.6753,16.0285
436,43.0563,291189,92803,68.1296,119.803
437,16.8123,185711,25907,86.0498,27.6746
438,36.2835,270774,70809,73.8494,124.759
439,5.58566,27667,2159,92.1965,2.2548
440,10.5596,109820,11147,89.8498,31.4922
441,4.85936,13635,2550,81.2981,5.7553
442,39.4913,247028,27762,88.7616,28.5889
443,3.63164,7308,1593,78.202,1.3015
444,26.3922,241253,14238,94.0983,13.6963
445,11.7804,83093,22102,73.4009,21.4471
446,35.0767,279646,31839,88.6145,32.834
447,17.853,98939,26692,73.0218,28.6308
448,13.3789,95264,18274,80.8175,31.1346
449,22.5109,229824,53314,76.8022,98.6249
450,36.0376,194510,57687,70.3424,70.4328
451,15.3031,93410,21182,77.3236,19.7721
452,7.24691,58343,6914,88.1494,6.1471
453,19.7021,215426,63175,70.6744,73.7546
454,53.4622,306335,107123,65.0308,215.743
455,23.8626,234652,69388,70.4294,101.848
456,15.4109,79358,24936,68.5778,29.9642
457,20.0883,177489,34175,80.7453,48.5537
458,29.1863,257768,109607,57.4784,128.692
459,29.9167,245084,53060,78.3503,95.2302
460,18.4562,89130,8957,89.9506,12.4672
461,35.337,264444,160079,39.4658,215.832
462,11.1862,53174,8171,84.6335,8.9853
463,12.5201,122276,18849,84.5849,21.751
464,18.3855,214800,30294,85.8966,31.1096
465,26.3958,235572,68345,70.9876,120.413
466,19.0272,145782,15176,89.5899,20.9954
467,29.6023,253436,52682,79.2129,67.6617
468,64.122,303445,175679,42.1052,231.903
469,7.70249,34794,5103,85.3337,5.7912
470,37.1843,279366,69077,75.2737,130.956
471,24.7879,232403,31421,86.48,48.0218
472,8.73941,27963,1348,95.1793,1.6402
473,48.3911,217302,68979,68.2566,128.607
474,1.52333,885,233,73.6723,0.2044
475,19.5557,138684,37306,73.1,46.0397
476,5.60729,36512,3426,90.6168,3.2673
477,10.2166,58495,9105,84.4346,8.9928
478,28.6496,137092,38262,72.0903,47.0619
479,33.0978,267762,76442,71.4515,136.253
480,12.97,119723,9253,92.2713,14.1666
481,1.0101,1983,278,85.9808,0.4251
482,25.7943,206761,70527,65.8896,91.4291
483,5.0783,22949,2061,91.0192,1.8778
484,11.9075,110894,16853,84.8026,17.8648
485,14.1818,119116,17939,84.9399,22.0946
486,23.9118,204066,30074,85.2626,51.9887
487,63.2997,312635,178962,42.7569,375.571
488,50.3174,208598,37977,81.7942,46.2492
489,18.6402,151566,22802,84.9557,46.8279
490,66.284,311137,182015,41.5,402.058
491,55.7861,312762,70005,77.6172,93.0857
492,18.6688,175092,41660,76.2068,106.407
493,9.63753,83240,14014,83.1643,43.9826
494,46.4903,230787,56511,75.5138,71.7205
495,18.2307,167021,39646,76.2629,141.992
496,19.1282,192522,43644,77.3304,47.6624
497,58.2196,300406,176783,41.152,393.823
498,31.9393,143183,51330,64.1508,81.857
499,30.4647,130804,13613,89.5928,17.2657
500,9.19108,65263,6095,90.6609,7.34
501,36.4549,254920,72294,71.6405,351.803
502,11.1029,107353,11651,89.147,61.0006
503,36.0143,249309,83290,66.5917,212.588
504,8.22522,37540,4826,87.1444,5.2557
505,49.3366,218781,44343,79.7318,63.2602
506,32.3339,263323,52683,79.993,193.262
507,20.0111,119117,24238,79.6519,52.1438
508,33.8061,262980,67166,74.4597,87.7782
509,19.515,193045,58671,69.6076,66.6363
510,35.6546,270729,84898,68.641,112.432
511,13.3882,39474,2089,94.7079,2.4911
512,22.5459,36454,8704,76.1233,18.2868
513,87.2599,308250,110838,64.0428,220.14
514,9.12992,71758,12175,83.0333,12.2972
515,36.9811,261248,101081,61.3084,130.379
516,12.368,98114,15123,84.5863,112.202
517,7.67473,65413,8943,86.3284,22.0607
518,12.1473,97807,15240,84.4183,59.2749
519,52.583,280828,129273,53.9672,271.596
520,28.1026,248073,23852,90.3851,23.8326
521,7.19865,44682,5662,87.3282,5.1609
522,40.3324,172316,37613,78.1721,77.197
523,9.19212,54950,14553,73.5159,32.5055
524,52.2088,254545,21018,91.7429,23.1789
525,91.062,311849,164154,47.3611,216.775
526,13.3527,24970,2390,90.4285,2.2858
527,17.1932,204459,10096,95.0621,12.5568
528,13.791,157384,31405,80.0456,78.4514
529,21.6842,217928,48952,77.5375,71.5808
530,10.216,67295,12316,81.6985,12.7834
531,41.3995,182743,40431,77.8755,45.1845
532,2.98898,8818,1449,83.5677,1.3262
533,25.9618,58211,5882,89.8954,4.9077
534,30.2864,245454,67827,72.3667,88.2483
535,27.0229,243089,40922,83.1658,100.168
536,24.7659,226732,32095,85.8445,50.6456
537,3.27392,14935,309,97.931,0.3088
538,38.4055,228300,32733,85.6623,53.6382
539,26.6569,101699,33486,67.0734,35.9634
540,10.1107,78123,11375,85.4396,20.3738
541,16.9798,169348,40380,76.1556,64.9775
542,22.6166,218930,54318,75.1893,94.8908
543,49.3922,298268,89147,70.1118,159.907
544,55.8964,290820,82574,71.6065,128.165
545,16.6217,140918,38455,72.7111,53.0167
546,28.6175,257517,76105,70.4466,253.973
547,35.3083,212058,70887,66.5719,93.8193
548,11.4584,111450,16424,85.2633,18.7529
549,17.6324,157069,23060,85.3186,29.0472
550,27.3629,17991,2817,84.3422,3.7072
551,4.67759,21698,2817,87.0172,4.6136
552,35.5901,182683,59832,67.2482,135.458
553,23.05,129249,29844,76.9097,55.3378
554,9.66979,67922,6066,91.0692,14.5753
555,58.0384,314335,87153,72.2738,168.697
556,8.8499,31738,2946,90.7178,2.3884
557,16.8288,103189,7053,93.165,5.892
558,45.7851,301197,58744,80.4965,134.167
559,17.1698,183420,48979,73.2968,91.6018
560,34.4668,231593,80168,65.3841,138.25
561,11.5323,52721,13051,75.2452,36.3387
562,42.7703,255016,85297,66.5523,227.87
563,25.1792,237892,15528,93.4727,18.1551
564,30.7032,152394,36709,75.9118,57.3238
565,37.3405,106970,12930,87.9125,12.4824
566,15.8224,120882,35751,70.4249,44.1983
567,28.6708,251164,99787,60.2702,218.166
568,44.744,266748,72712,72.7413,91.1258
569,17.6887,173325,31611,81.762,33.0015
570,49.3254,301902,137675,54.3975,290.142
571,22.2545,182997,3845,97.8989,6.5114
572,12.0747,96454,11212,88.3758,15.4806
573,28.3597,174210,34845,79.9983,40.9612
574,48.1767,221429,53977,75.6233,87.7799
575,7.28954,45748,9246,79.7893,10.9797
576,37.5613,282362,66298,76.5202,102.608
577,10.1696,66490,9405,85.855,13.7263
578,11.285,46702,11556,75.2559,17.556
579,23.859,140533,40240,71.3662,68.988
580,46.8064,117407,28825,75.4487,28.9704
581,34.4671,189371,51281,72.9204,72.9188
582,17.8623,197934,36989,81.3125,40.5836
583,32.8294,66365,18032,72.8291,17.4237
584,31.7059,260235,74756,71.2737,160.052
585,28.539,138747,36912,73.3962,70.9238
586,18.5881,161307,25044,84.4743,25.2754
587,14.363,136580,31051,77.2653,39.0335
588,53.8552,166429,38544,76.8406,42.0259
589,22.7562,231436,70474,69.5492,79.4477
590,34.1505,268986,58841,78.1249,97.5543
591,15.0955,141881,17061,87.9751,27.7947
592,26.4544,237732,72456,69.522,121.647
593,38.3229,76549,7856,89.7373,12.6844
594,35.2126,281566,69578,75.2889,104.655
595,18.0298,173279,24928,85.614,42.2958
596,3.19737,16700,2379,85.7545,4.9349
597,24.7999,243942,44868,81.6071,95.7266
598,49.4359,269283,67429,74.9598,90.7173
599,21.4328,64854,15942,75.4186,17.9951
600,59.8167,309517,198118,35.9912,418.644
601,11.0172,132562,20234,84.7362,37.6426
602,25.9858,104313,25719,75.3444,30.6192
603,49.5502,301446,198688,34.0884,298.599
604,27.88,250182,44632,82.1602,99.8884
605,36.4053,282718,18071,93.6081,35.0251
606,6.65769,46590,7232,84.4774,9.1662
607,54.1317,193133,43287,77.5869,61.1738
608,52.6089,308588,83627,72.9001,138.663
609,14.4331,116937,23119,80.2295,49.647
610,30.5787,223522,54932,75.4243,135.721
611,12.4804,115849,10156,91.2334,11.2043
612,26.519,246402,66467,73.025,87.685
613,16.6842,132360,30316,77.0958,38.0868
614,7.13748,13643,2330,82.9216,1.9169
615,51.4397,305240,79848,73.8409,170.325
616,35.9879,280651,79039,71.8373,104.692
617,28.6372,244450,103274,57.7525,140.856
618,1.97894,2855,482,83.1173,0.4479
619,42.7155,243944,12404,94.9152,25.7433
620,25.6822,228784,75848,66.8473,223.212
621,19.2791,53833,8453,84.2977,19.8528
622,44.0957,294962,27855,90.5564,36.3305
623,27.0985,46537,2081,95.5283,1.6111
624,25.1263,243401,18782,92.2835,24.7544
625,11.5353,102038,18673,81.7,21.9712
626,9.74566,86414,14430,83.3013,36.1073
627,47.1328,217474,67744,68.8496,181.423
628,35.1124,215003,77717,63.8531,171.975
629,3.60249,6514,618,90.5127,0.8798
630,20.4909,195540,56488,71.1118,99.4917
631,34.0528,272848,94942,65.2033,229.692
632,38.3815,243366,72988,70.009,142.317
633,31.3968,247362,82507,66.6452,116.29
634,50.1031,300657,130222,56.6875,322.576
635,39.1836,282281,62373,77.9039,110.86
636,10.5287,102753,10989,89.3054,15.1001
637,24.434,162195,31872,80.3496,40.5195
638,37.9864,200710,40932,79.6064,124.913
639,14.7982,143735,24867,82.6994,62.3312
640,18.1867,73673,10508,85.737,18.0771
641,27.8298,228180,64543,71.714,150.291
642,32.3378,268545,54961,79.5338,100.49
643,40.0042,284591,149586,47.4383,1168.92
644,43.3665,251354,96056,61.7846,332.803
645,33.4683,59909,13628,77.2522,21.7854
646,50.8426,227679,61165,73.1354,132.546
647,27.2219,249171,106080,57.4268,202.194
648,11.2238,69448,12638,81.8022,19.2029
649,22.7009,33324,2279,93.1611,2.605
650,54.7557,159120,18606,88.3069,28.0134
651,21.6348,82850,14393,82.6276,35.0998
652,6.35533,18647,2843,84.7536,5.8454
653,40.8165,290659,24148,91.692,40.0875
654,27.7531,253453,74060,70.7796,131.899
655,23.4327,189045,50041,73.5296,80.7714
656,31.1592,214833,49154,77.1199,90.2685
657,35.5402,256717,55196,78.4993,133.323
658,2.59733,4884,1234,74.7338,2.527
659,29.2659,260632,9625,96.3071,15.0496
660,59.0999,312739,63627,79.6549,89.5787
661,21.3495,179195,29165,83.7244,38.4452
662,15.0864,143877,31998,77.7602,68.2031
663,20.3468,174347,26874,84.5859,50.6959
664,21.3714,176458,40919,76.8109,90.2979
665,60.1038,309046,201037,34.9492,296.875
666,36.062,273976,114741,58.1201,173.188
667,35.278,80309,20561,74.3976,37.4306
668,36.2895,269685,92423,65.7293,451.89
669,11.6033,81989,23205,71.6974,61.9274
670,38.8773,282665,61175,78.3578,180.204
671,36.8208,225345,76805,65.9167,226.193
672,57.3432,176092,53690,69.5103,167.22
673,58.1382,155269,37606,75.7801,82.9341
674,6.71714,52864,7413,85.9772,15.9567
675,21.5938,200635,35761,82.1761,75.0105
676,23.6987,163644,53635,67.2246,120.314
677,66.8512,312722,198201,36.6207,407.234
678,22.303,191544,7618,96.0228,9.971
679,15.8716,163499,34763,78.7381,49.4813
680,6.00628,33189,6033,81.8223,7.366
681,58.4611,313035,137598,56.0439,283.787
682,44.4225,205045,31964,84.4112,60.1282
683,30.9377,220091,66256,69.8961,91.2948
684,75.9856,298333,149021,50.0488,292.88
685,7.57213,2468,829,66.41,0.8399
686,14.5253,119262,28774,75.8733,73.3852
687,38.0513,228216,59131,74.0899,124.516
688,11.9347,93261,18081,80.6125,38.7927
689,31.1027,147516,34677,76.4927,47.8547
690,24.4349,123929,27675,77.6687,42.6183
691,15.2013,136708,15130,88.9326,21.6793
692,11.5426,120159,16837,85.9877,22.0949
693,27.0555,36996,7280,80.3222,10.6013
694,57.5957,304534,92148,69.7413,171.555
695,0.593564,126,22,82.5397,0.0297
696,39.7215,131232,31402,76.0714,41.6628
697,11.256,39007,9857,74.7302,11.2771
698,53.9057,261813,98840,62.2479,184.021
699,14.2783,141418,19476,86.2281,27.6403
700,18.8226,43938,7035,83.9888,14.3598
701,36.8593,271190,80339,70.3754,235.306
702,19.7962,115035,28899,74.8781,53.3524
703,32.3269,178710,62082,65.261,118.132
704,9.12938,41064,3314,91.9297,13.1956
705,35.8218,282077,52861,81.2601,97.2829
706,25.2775,85144,26674,68.6719,40.6332
707,39.3209,281824,60702,78.461,93.1207
708,34.2471,184531,43329,76.5194,83.5395
709,29.5451,244034,70681,71.0364,144.98
710,19.4011,187707,28855,84.6276,61.6375
711,5.31519,26005,4507,82.6687,4.5346
712,4.94888,30613,4048,86.7769,4.9412
713,13.6492,122140,20086,83.5549,28.4704
714,35.7078,59724,14502,75.7183,18.349
715,24.6498,131079,4553,96.5265,5.1181
716,28.8368,132857,39126,70.5503,78.7361
717,15.2596,70358,9112,87.0491,10.9585
718,8.34726,57422,6553,88.588,8.7189
719,10.2422,73810,10018,86.4273,23.3233
720,17.6719,181873,49883,72.5726,109.88
721,12.3961,112259,28882,74.272,57.5349
722,68.8102,306788,140403,54.2345,373.018
723,49.0491,304768,52582,82.7469,95.272
724,25.8951,247734,43303,82.5204,62.8634
725,14.0592,135277,20052,85.1771,26.7176
726,14.3561,91925,20800,77.3729,33.7353
727,67.4665,299155,179670,39.9408,526.169
728,19.8223,209545,42042,79.9365,60.7052
729,23.5694,149506,31970,78.6162,45.8961
730,12.9132,101759,25495,74.9457,38.2905
731,37.9382,274023,99128,63.8249,258.691
732,53.3804,238640,97470,59.1561,156.813
733,18.6384,143473,27625,80.7455,33.1137
734,29.8132,260344,30537,88.2705,50.9797
735,30.499,140699,16067,88.5806,31.6747
736,22.5682,228721,64282,71.895,161.202
737,43.6038,194095,45160,76.733,85.2704
738,20.2928,205380,30962,84.9245,42.7362
739,52.8131,295554,181685,38.5273,520.201
740,52.6084,164800,46645,71.696,76.8706
741,14.6181,175564,3431,98.0457,5.7246
742,14.3444,108406,21569,80.1035,33.2074
743,23.9858,199400,57217,71.3054,167.336
744,11.9221,54836,5883,89.2716,27.658
745,18.7953,152207,22503,85.2155,63.3624
746,11.458,106719,9194,91.3849,16.2603
747,23.6365,233292,56980,75.5757,81.2091
748,13.4137,121620,24536,79.8257,31.4331
749,16.8323,171143,33958,80.1581,69.1057
750,32.7724,271134,19661,92.7486,24.5979
751,33.091,251741,54099,78.5101,68.0896
752,28.5232,189297,68114,64.0174,86.9747
753,8.49673,45859,5826,87.2958,4.8504
754,29.239,257458,40454,84.2871,67.9681
755,19.8198,98945,27681,72.0239,47.1062
756,6.07113,21555,1388,93.5607,2.2988
757,21.0263,53796,14789,72.5091,22.5859
758,5.81977,21730,4858,77.6438,5.9275
759,45.7107,232478,75878,67.3612,92.2675
760,43.768,257437,99127,61.4947,143.613
761,13.1038,154669,24277,84.3039,28.0196
762,16.7508,93930,6004,93.608,7.8701
763,20.9268,162430,40280,75.2016,96.4615
764,18.5705,73235,5435,92.5787,8.2657
765,25.6959,127071,4952,96.103,4.2646
766,11.7051,33277,2606,92.1688,2.2372
767,5.17527,3657,623,82.9642,0.6717
768,48.9398,308959,95241,69.1736,168.518
769,38.0695,288359,65834,77.1694,85.4369
770,32.7301,214425,78010,63.619,94.1651
771,35.1037,63126,11360,82.0042,11.8486
772,6.16707,31261,5310,83.014,7.0102
773,36.5854,148475,13455,90.9379,13.3036
774,22.6524,233678,52259,77.6363,103.031
775,7.8001,55449,11968,78.4162,15.0733
776,32.2898,271869,116044,57.3162,153.638
777,7.60849,58996,6574,88.8569,6.0577
778,27.79,93640,30612,67.3088,31.6453
779,2.92319,6258,1644,73.7296,1.3594
780,52.0358,294273,120213,59.1492,139.438
781,34.9467,270242,77682,71.2547,171.446
782,19.3325,134842,34403,74.4864,39.7231
783,19.2906,44141,7619,82.7394,7.2129
784,8.4847,63942,6094,90.4695,5.6399
785,19.0266,203477,32998,83.7829,36.1514
786,13.336,124832,21052,83.1357,29.3723
787,12.5573,85780,20243,76.4013,20.4286
788,24.6308,89135,21872,75.4619,22.0988
789,16.5356,144661,35782,75.2649,37.8974
790,3.25102,6675,646,90.3221,0.5363
791,57.7981,176191,47442,73.0735,74.0998
792,49.5658,269418,118086,56.17,155.372
793,24.8634,185781,51255,72.4111,55.077
